recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max
1414bbe17,14,1,14.6453,3750.0,14.9173,6468.75
7ed4d3ca1,14,1,17.952,3750.0,18.224,6468.75
d3020850e,14,1,40.5387,2531.25,41.1253,5531.25
8dddf58e0,14,1,10.352,2812.5,11.2747,4406.25
46c7db806,14,1,49.472,2812.5,50.3947,4406.25
b89bd05a1,14,1,44.432,2812.5,45.3547,4406.25
e8b209030,14,1,4.1493,2531.25,4.736,5531.25
47f2eb3b8,14,1,8.5707,2812.5,9.4933,4406.25
edd3b27d6,14,1,36.3413,2812.5,37.264,4406.25
8574d9e81,14,1,27.872,2812.5,28.7947,4406.25
de80fb815,14,1,58.3573,2531.25,58.944,5531.25
ec3a54dc6,14,1,38.7467,2531.25,39.3333,5531.25
a4035e64b,14,1,7.104,3750.0,7.376,6468.75
561ed4362,14,1,0.08,2531.25,0.6667,5531.25
8593f9606,14,1,30.384,2531.25,30.9707,5531.25
75c8ccce9,14,1,12.592,2531.25,13.1787,5531.25
7e370f1f3,14,1,46.064,2531.25,46.6507,5531.25
055088446,14,1,58.992,3750.0,59.264,6468.75
dabd22b08,14,1,28.4,2812.5,29.3227,4406.25
c39b2fcd3,14,1,29.2053,2812.5,30.128,4406.25
16ccddf71,14,1,51.8773,2812.5,52.8,4406.25
88186ba66,14,1,18.4373,2531.25,19.024,5531.25
42a7c4f08,14,1,30.5493,2812.5,31.472,4406.25
16ffcf223,14,1,16.9973,2812.5,17.92,4406.25
c9fc89429,14,1,39.3493,3750.0,39.6213,6468.75
c16b7270b,14,1,58.352,3750.0,58.624,6468.75
af0113159,14,1,36.1547,2812.5,37.0773,4406.25
b1d18170a,14,1,59.0987,3750.0,59.3707,6468.75
c271bc1ea,14,1,25.664,2812.5,26.5867,4406.25
003bec244,14,1,44.544,2531.25,45.1307,5531.25
d53f58786,14,1,3.728,2531.25,4.3147,5531.25
e1a046050,14,1,39.5253,2812.5,40.448,4406.25
956aaf47c,23,1,23.1503,7235.16,29.2339,11283.4
5bf1ac192,23,1,28.8566,7235.16,34.9402,11283.4
890abb1e3,23,1,34.9751,7235.16,41.0587,11283.4
ee3eab224,23,1,3.9822,7235.16,10.0659,11283.4
82ff46226,23,4,15.9695,6459.96,23.8933,11627.9
2393b59e0,23,1,31.4688,7235.16,37.5525,11283.4
5f8eecc9e,23,4,51.0084,6459.96,58.9322,11627.9
71db64300,23,1,19.3074,7235.16,25.391,11283.4
2695a2878,23,1,45.3486,7235.16,51.4322,11283.4
604583528,23,4,51.9314,6459.96,59.8552,11627.9
802907092,23,4,45.3486,6459.96,53.2724,11627.9
d5997789c,23,1,1.9215,7235.16,8.0051,11283.4
226ce47d9,23,1,36.9371,7235.16,43.0208,11283.4
e393a4c21,23,1,49.5746,7235.16,55.6582,11283.4
11bafff5d,23,1,22.6278,7235.16,28.7115,11283.4
35675af70,23,1,53.1389,7235.16,59.2225,11283.4
51f69a454,23,1,4.3886,7235.16,10.4722,11283.4
a993402e2,23,4,31.9507,6459.96,39.8745,11627.9
59a9eb657,23,4,48.4484,6459.96,56.3722,11627.9
551385b05,23,4,44.4372,6459.96,52.361,11627.9
6a0ac2d09,23,1,15.1568,7235.16,21.2405,11283.4
ed2f84e75,23,4,24.7815,6459.96,32.7053,11627.9
48ceeeb96,23,4,28.7231,6459.96,36.6469,11627.9
c9bd1f599,23,1,0.4354,7235.16,6.519,11283.4
9f8fcb625,23,1,52.7673,7235.16,58.851,11283.4
fb5371e7b,23,1,50.1667,7235.16,56.2503,11283.4
053aeb7bd,23,4,0.952,6459.96,8.8758,11627.9
d09dc9dd5,23,4,31.4398,6459.96,39.3636,11627.9
b988da7d0,23,4,30.6271,6459.96,38.5509,11627.9
b441cf212,23,4,51.9546,6459.96,59.8785,11627.9
bd62d4fa2,23,4,8.185,6459.96,16.1088,11627.9
160add406,23,4,3.0534,6459.96,10.9772,11627.9
1e05620be,12,1,38.4587,562.5,41.5947,3281.25
02b9a8ab9,12,1,33.9093,562.5,37.0453,3281.25
2026bced7,12,1,49.8987,562.5,53.0347,3281.25
d4a03bf19,12,1,29.3547,562.5,32.4907,3281.25
fdda158ed,12,1,42.848,562.5,45.984,3281.25
7a49b2465,12,1,35.0933,562.5,38.2293,3281.25
da708c386,12,1,26.7147,562.5,29.8507,3281.25
0968aea09,12,1,5.7707,562.5,8.9067,3281.25
ef3647390,12,1,26.352,562.5,29.488,3281.25
e6af91bbf,12,1,1.5573,562.5,4.6933,3281.25
9d293be93,12,1,52.7627,562.5,55.8987,3281.25
935e4c9b0,12,1,49.8667,562.5,53.0027,3281.25
471bb3a84,12,1,28.0373,562.5,31.1733,3281.25
85fd75b28,12,1,9.8453,562.5,12.9813,3281.25
ce8270c7b,12,1,21.264,562.5,24.4,3281.25
d922d82e9,12,1,21.7547,562.5,24.8907,3281.25
896080a53,12,1,1.728,562.5,4.864,3281.25
19442bf58,12,1,1.4933,562.5,4.6293,3281.25
5b219bb1c,12,1,0.56,562.5,3.696,3281.25
007f87ba2,12,1,39.136,562.5,42.272,3281.25
4d54e38a8,12,1,45.9893,562.5,49.1253,3281.25
4482bd512,12,1,29.5947,562.5,32.7307,3281.25
2cd094d21,12,1,51.2107,562.5,54.3467,3281.25
cbc07e2ec,12,1,55.584,562.5,58.72,3281.25
ea71a1a7d,12,1,41.7333,562.5,44.8693,3281.25
c4ec1e7de,12,1,56.1067,562.5,59.2427,3281.25
1ca8c8af6,12,1,0.6827,562.5,3.8187,3281.25
5723a520c,12,1,10.1973,562.5,13.3333,3281.25
ccd0a0bff,12,1,4.784,562.5,7.92,3281.25
9abdbfc9f,12,1,18.6187,562.5,21.7547,3281.25
9425c4b01,12,1,51.3493,562.5,54.4853,3281.25
3f5f4aa9a,12,1,23.584,562.5,26.72,3281.25
27c146a88,17,4,26.7733,1312.5,29.3067,7406.25
d291fab38,17,4,6.9387,1406.25,9.5467,3937.5
755d6c7eb,17,4,14.4427,1406.25,17.0507,3937.5
ee3dc0bc6,17,1,42.8533,1312.5,49.3067,3937.5
5f51598f1,17,1,25.9467,1312.5,32.4,3937.5
d59d099b3,17,1,41.088,1312.5,47.5413,3937.5
